"session_id","citizenship","state","education","gender","genoccupation","politicalid","raceethnic","religion","religionid","age","posPrime","negPrime","ampDiff","all_same","complete_amp","shareAware","prime_present","target_present","influence","influence_unintentional","influence_intentional","strategy","strategy_noprime","anything_else"
"14577934","United States",NA,"Some college","Female","Sales","Moderately conservative","White","Other","Somewhat religious",56,0.971428571428571,0.342857142857143,0.628571428571429,0,1,0.685714285714286,96,100,84,61,64,"Whether they were good memories or things I was not afraid of.","went by feeling","no, intersting..."
"14577935","United States","North Carolina","High school graduate","Other","Administrative Support","Strongly liberal","Asian","None","Not at all religious",19,0.542857142857143,0.142857142857143,0.4,0,1,0.7,100,0,80,51,61,"Considering how the picture makes me feel or if its irrationally unpleasant","I chose one or the other and chose 0",NA
"14577948","United States","California","Bachelors degree","Female","Social Service","Strongly liberal","Hispanic","Catholic","Somewhat religious",25,0.885714285714286,0.0857142857142857,0.8,0,1,0.514285714285714,99,100,99,97,86,"context","memory","confusing study"
"14577961","United States","Utah","Some college","Female","Business","Moderately liberal","White","Protestant","Somewhat religious",32,0.4,0.2,0.2,0,1,0,100,100,0,0,0,"I didn't care about that picture. I cared about the colors of the abstract paintings.","I paid attention really well and went with my immediate instinct of liking the painting or not.",NA
"14577969","United States","California","Associates degree","Female","Healthcare","Slightly liberal","Asian","Buddhist","Somewhat religious",21,0.8,0.628571428571429,0.171428571428571,0,1,0.1,43,67,31,68,42,"Did i think more about the picture or the painting","which did i remember seeing",NA
"14577991","United States","North Carolina","High school graduate","Male",NA,"Strongly conservative","White","Catholic","Moderately religious",19,0.685714285714286,0.628571428571429,0.0571428571428572,0,1,0.257142857142857,100,100,20,31,70,"colors","I randomly pressed buttons","no"
"14577992","United States","Texas","Some college","Female","Retired/Unemployed","Moderately conservative","White","Protestant","Moderately religious",19,0.828571428571429,0.0857142857142857,0.742857142857143,0,1,0.642857142857143,99,100,53,47,49,"Based on how much I liked the painting and the picture before it","based on the colors that I saw","no"
"14578011","Canada",NA,"J.D.","Female","Legal","Moderately liberal","White","Other","Somewhat religious",27,0.828571428571429,0.285714285714286,0.542857142857143,0,1,0.571428571428571,100,100,77,60,65,"If I felt a reaction or not.","I could see both",NA
"14578012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.914285714285714,0,0.914285714285714,0,1,1,100,100,81,93,83,"my emotions","i said i wasn't","no"
"14578021","New Zealand",NA,"Some graduate school","Female","Education","Moderately liberal","White","Protestant","Not at all religious",39,0.742857142857143,0.514285714285714,0.228571428571429,0,1,0,92,99,1,1,1,"Focused on the colours of the painting itself","My brief memory",NA
"14578030","United States","Oregon","Some college","Female","Education","Neutral","White","Protestant","Somewhat religious",65,1,1,0,1,1,0,100,99,0,1,0,"Pretty much ignored the initial picture and focused on the abstract.  I saw many different things in the abstract and none of them made me uncomfortable or were unpleasant.","I was consistent with my responses","No, as I mentioned I found many different visuals in the abstracts and them intriguing."
"14578032","United States","Texas","High school graduate","Female","Retired/Unemployed","Moderately liberal","Black","Protestant","Somewhat religious",18,0.6,0.4,0.2,0,1,0.157142857142857,NA,100,29,89,6,"If the colors and patterns were appealing to me, then I feel like I was more likely to not be affected by the image in the picture",NA,NA
"14578048","China",NA,"Masters degree","Female","Healthcare","Neutral","Asian","Buddhist","Moderately religious",45,0.285714285714286,0.0857142857142857,0.2,0,1,0.0428571428571429,100,0,3,31,62,"Remind not to be infected by the picture  that appeared immediately before the painting.","Stay aware.","Although try to stay aware, I still be affected sometimes."
"14578058","United States","Missouri","Other advanced degree","Female","Education","Slightly conservative","White","Protestant","Moderately religious",49,0,0,0,1,1,0.2,100,0,0,0,0,NA,NA,"No"
"14578063","United States","Pennsylvania","Masters degree","Female","Education","Strongly liberal","White","None","Not at all religious",42,0.428571428571429,0.0285714285714286,0.4,0,1,0.914285714285714,99,100,93,49,48,"I paused more after I saw a picture I found pleasant.  When I paused I could see more patterns in the painting that I found pleasurable.","I assumed if I didn't see the picture it did not influence me...","I think maybe even if I thought I didn't see the picture, it probably did influence me."
"14578064","United States","Indiana","Associates degree","Female","Service and Personal Care","Moderately liberal","White","Protestant","Somewhat religious",62,1,1,0,1,1,0,98,98,1,1,1,"I liked the abstract nothing changerd that","there were no trials that I remeber as you describe","no"
"14578088","United States","California","Bachelors degree","Male","Administrative Support","Neutral","Middle Eastern","Catholic","Not at all religious",52,0.885714285714286,0.0857142857142857,0.8,0,1,0.585714285714286,85,80,83,17,72,"no strategy used","i just pick one","no commetn"
"14578089","United States","Missouri","Bachelors degree","Female","Retired/Unemployed","Neutral","White","Protestant","Moderately religious",21,0.657142857142857,0.485714285714286,0.171428571428571,0,1,0.214285714285714,100,99,64,11,88,"Based on the colors","I just say they did not influence me","Use different abstract pictures"
"14578091","United States","Minnesota","Other advanced degree","Male","Education","Neutral","Middle Eastern","Catholic","Somewhat religious",58,0.914285714285714,0.371428571428571,0.542857142857143,0,1,0.657142857142857,96,NA,56,48,60,"i tried not to overthink it and just respond","intuition",NA
"14578092","Afghanistan",NA,"Other advanced degree","Female","Social Service","Slightly liberal","Asian","Muslim","Somewhat religious",43,0.628571428571429,0.0857142857142857,0.542857142857143,0,1,0.857142857142857,90,6,69,48,45,"observing","gussing","none"
"14578093","United States","Texas","Bachelors degree","Female","Education","Moderately liberal","Hispanic","Catholic","Moderately religious",43,0.857142857142857,0.342857142857143,0.514285714285714,0,1,1,NA,NA,49,98,98,"memory","I know I was. The pictures stood out more than the painting.",NA
"14578095","United States","Geogia","Some graduate school","Male","Social Service","Moderately liberal","Multiracial","Other","Not at all religious",48,0.342857142857143,0.314285714285714,0.0285714285714286,0,1,0.0571428571428571,98,97,11,1,9,"Attempted to focus on the painting and not the photos","I believe I saw all the images clearly","The abstract images in general had poor color schemes"
"14578104","United States","Arizona","Associates degree","Female","Education","Slightly conservative","White","Protestant","Very religious",22,0.583333333333333,0.769230769230769,-0.185897435897436,0,0,0.44,NA,NA,NA,NA,NA,NA,NA,NA
"14578108","United States","Missouri","Some graduate school","Female","Healthcare","Moderately conservative","White","Protestant","Somewhat religious",20,1,1,0,1,1,0,100,100,0,0,0,"I focused on the abstract paintings only","I saw every picture/painting",NA
"14578109","United States",NA,"Masters degree","Male","Social Service","Strongly liberal","White","None","Not at all religious",38,0.628571428571429,0.114285714285714,0.514285714285714,0,1,0.885714285714286,100,0,85,87,65,"Whether I liked it or not","I went with my baseline, which was I did not like the painting",NA
"14578113","United States","Texas","Associates degree","Male","Food Service","Moderately liberal","Black","None","Not at all religious",57,0.885714285714286,0.371428571428571,0.514285714285714,0,1,0.442857142857143,100,59,50,98,43,"All of them","I seen all of them","I believe it was bias because  it’s had only white people to represent pleasant"
"14578114","United States","California","Bachelors degree","Female","Healthcare","Neutral","Asian","Muslim","Somewhat religious",47,0.914285714285714,0.0857142857142857,0.828571428571429,0,1,1,49,51,1,26,32,NA,"guessed","my fingers were tapping the keyboard faster than my eye was processing what I saw"
"14578127","United States","California","Bachelors degree","Other","Administrative Support","Strongly liberal","Asian","Other","Somewhat religious",23,0.542857142857143,0.0571428571428571,0.485714285714286,0,1,0.971428571428571,66,29,94,85,47,"feeling","feeling",NA
"14578138","Canada",NA,"Some college","Female","Education","Neutral","White","None","Not at all religious",26,0.885714285714286,0.0285714285714286,0.857142857142857,0,1,0.0714285714285714,96,99,36,31,36,"doesn't matter the order they come in, each picture is different","assumption by the glimpaw","no"
"14578142","United States","Geogia","Bachelors degree","Female","Management","Slightly liberal","Black","Protestant","Moderately religious",24,0.771428571428571,0,0.771428571428571,0,1,0.0857142857142857,97,92,20,7,9,NA,NA,NA
"14578147","United States","Geogia","Bachelors degree","Female","Healthcare","Slightly conservative","Black","None","Moderately religious",49,1,0.685714285714286,0.314285714285714,0,1,0.0428571428571429,NA,NA,60,55,47,"none of them influenced me","nothing interest me","I'm not patient enough for this type of work"
"14578156","United States","California","Some college","Female","Homemaker or Parenting","Neutral","Hispanic","None","Not at all religious",33,0.742857142857143,0.485714285714286,0.257142857142857,0,1,0.0714285714285714,100,99,6,54,85,"When I focused on what the initial picture was, it influenced me more.","I decided that I was not influenced because the majority of the time I wasn't influenced.","The pictures flashing were way faster than I anticipated at first"
"14578159","United States","Wisconsin","Associates degree","Male","Retired/Unemployed","Strongly conservative","Multiracial","None","Somewhat religious",45,1,1,0,1,1,1,NA,NA,99,1,1,"My love of abstract art.",NA,"It is informative."
"14578176","Philippines",NA,"Bachelors degree","Female","Healthcare","Slightly conservative","Asian","Catholic","Very religious",64,0.8,0.457142857142857,0.342857142857143,0,1,0.885714285714286,35,99,100,70,100,"critical thinking","I answered unpleasant","it is a challenge how you will interpret things"
"14578182","United States","Arizona","Masters degree","Female","Healthcare","Moderately liberal","Asian","Buddhist","Moderately religious",26,0.828571428571429,0.685714285714286,0.142857142857143,0,1,0.257142857142857,100,100,19,22,NA,"color of the background of the painting","3-4",NA
"14578197","United States","California","M.B.A.","Male","Management","Moderately liberal","White","None","Not at all religious",46,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"14578198","United States","New Jersey","Some graduate school","Female","Sales","Moderately liberal","Black","Protestant","Moderately religious",62,0.828571428571429,0.114285714285714,0.714285714285714,0,1,0,96,99,48,54,61,NA,NA,NA
"14578211","Australia",NA,"Some college","Female","Education","Moderately conservative","White","Other","Very religious",24,0,0,0,1,1,0,99,100,0,NA,0,"I think there is something wrong with the test. All I saw were black static like images.","I never saw anything. Just saw black static","Im not sure if there is an error or not? I never saw any images"
"14578217","Australia",NA,"Some college","Male","Repair/Installation","Moderately liberal","White","None","Not at all religious",38,0.942857142857143,0.885714285714286,0.0571428571428572,0,1,0.0857142857142857,100,100,11,9,0,"ignore first picture - assume most abstract paintings were basically the same - they are all pleasant for different reasons","i actually got very confused towards the start of the trial, i thought the website was bugging out",NA
"14578238","United States","Minnesota","Associates degree","Female","Legal","Moderately liberal","Multiracial","Catholic","Somewhat religious",33,0.828571428571429,0.8,0.0285714285714286,0,1,0,100,0,0,0,0,"the colors","i always saw the painting","no"
"14578261","United States","California","Some college","Male","Retired/Unemployed","Neutral","Asian","None","Not at all religious",19,0.0571428571428571,0,0.0571428571428571,0,1,0.342857142857143,NA,NA,54,58,35,"Very hard to tell. The unpleasant pictures were more memorable.","If I couldn't see it there were no influence","no"
"14578279","Philippines",NA,"Other advanced degree","Female","Retired/Unemployed","Moderately conservative","Asian","Catholic","Moderately religious",20,0.914285714285714,0.228571428571429,0.685714285714286,0,1,0.942857142857143,2,3,NA,7,5,"Analyze and think about what is in the paintings or pictures.","If it happened then I would press the button that I haven't used yet for that question.","It is interesting and the time of showing the pictures was really fast and challenging."
"14578292","United States","Texas","Associates degree","Male","Military","Neutral","Black","Protestant","Moderately religious",28,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"14578297","Australia",NA,"Some college","Male","Sales","Neutral","White","None","Not at all religious",19,0.8,0.228571428571429,0.571428571428572,0,1,0.885714285714286,100,0,91,64,9,"If it was pleasent or not","I barely saw the painting so i Judged the picture","this was a shit study, couldn't see the paintings because it was too fast, gave me a headache"
"14578300","Japan",NA,"High school graduate","Male","Production",NA,"Asian",NA,NA,54,0.0588235294117647,0.230769230769231,-0.171945701357466,0,0,0.966666666666667,NA,NA,NA,NA,NA,NA,NA,NA
"14578320","United States","California","Masters degree","Female","Healthcare","Slightly liberal","White","None","Not at all religious",43,0.0857142857142857,0,0.0857142857142857,0,1,0.2,100,99,10,97,4,"On how I felt viewing the painting","If I couldn't make out the picture or it didn't register, it didn't seem to influence my feelings as I viewed the painting","No"
"14578337","United States","California","Some graduate school","Female","Education","Slightly liberal","Black","Protestant","Moderately religious",36,0.724137931034483,0.129032258064516,0.595105672969967,0,0,0.533333333333333,NA,NA,NA,NA,NA,NA,NA,NA
"14578338","United States","Wisconsin","Associates degree","Female","Education","Strongly liberal","Hispanic","Catholic","Moderately religious",44,1,0.0857142857142857,0.914285714285714,0,1,0.957142857142857,83,95,93,81,81,"How I was feeling about it","By instinct","no"
"14578340","United States","Idaho","Some college","Female","Education","Neutral","White","Protestant","Very religious",21,0.514285714285714,0.514285714285714,0,0,1,0.0285714285714286,99,99,22,49,51,"for the most part i didn't love the thick black lines, or the images with too bold of a color in the background.","For these one I usually gave a random answer and said that I was influenced by the picture.","I think I'm going to be seeing dots for a while..."
"14578342","United States","Texas","Bachelors degree","Female","Retired/Unemployed","Neutral","Hispanic","Protestant","Moderately religious",27,0.914285714285714,0.742857142857143,0.171428571428571,0,1,0.142857142857143,99,99,20,69,11,"Tried to identify what was unpleasant about the photo before choosing. Was it the appearance or was it what I saw.","Based on colors I saw","No. Very interesting study."
"14578355","Australia",NA,"Masters degree","Female","Management",NA,"White",NA,"Not at all religious",43,0.857142857142857,0.228571428571429,0.628571428571429,0,1,0.614285714285714,69,5,26,68,69,"it was challenging to sperate my intentions","that was the challenge","this was very confronting"
"14578364","United States","Colorado","Some college","Female","Education","Strongly liberal","White","None","Not at all religious",21,0.8,0.0285714285714286,0.771428571428571,0,1,0.742857142857143,100,100,100,100,0,"The painting went by too fast, I only really could see the pictures",NA,NA
"14578367","United States",NA,"Some college","Male",NA,NA,"Black","None","Not at all religious",21,0.628571428571429,0.771428571428571,-0.142857142857143,0,1,0.4,36,23,46,26,63,"focus","spider","hard"
"14578390","United States","South Carolina","High school graduate","Male","Arts/Design/Entertainment/Sports","Moderately conservative","White","Catholic","Moderately religious",19,0.8,0.2,0.6,0,1,0.485714285714286,70,79,35,22,61,"Were the animals cute, angry, or associated with bad memories/experiences.","I saw the animals most clearly","Not really."
"14578403","United States","Arizona","Associates degree","Male","Sales","Neutral","Black","Protestant","Moderately religious",22,0.885714285714286,0.0571428571428571,0.828571428571429,0,1,0.985714285714286,93,41,70,30,75,"I tried to remember specific pictures","It would have greatly influenced me","see different pictures instead of the same ones"
"14578414","Canada",NA,"Some college","Female","Retired/Unemployed","Neutral","White","None","Not at all religious",30,0.714285714285714,0.0285714285714286,0.685714285714286,0,1,0.7,100,3,60,68,25,NA,NA,NA
"14578417","Australia",NA,"Some high school","Male",NA,NA,"White","Catholic","Not at all religious",16,1,0.785714285714286,0.214285714285714,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA
"14578419","Australia",NA,"Some high school","Male","Food Service","Neutral","White","Catholic","Somewhat religious",16,0.914285714285714,0.257142857142857,0.657142857142857,0,1,0.985714285714286,72,26,60,60,24,"if the pictures looked scary, dark, or gloomy",NA,NA
"14578420","Australia",NA,"Junior high","Male","Retired/Unemployed","Neutral","White","Catholic","Somewhat religious",16,0.657142857142857,0.0571428571428571,0.6,0,1,0.5,71,68,49,NA,47,NA,NA,NA
"14578422","Australia",NA,"Some high school","Male","Administrative Support","Slightly conservative","White","Protestant","Not at all religious",16,0.771428571428571,0.0857142857142857,0.685714285714286,0,1,0.942857142857143,64,64,96,86,76,"colour, expression",NA,"very repetetive"
"14578424","Australia",NA,"Some high school","Male","Repair/Installation","Neutral","White","Catholic","Moderately religious",16,0.628571428571429,0.228571428571429,0.4,0,1,0.642857142857143,78,52,40,69,67,"colour","by other images displayed","no"
"14578428","Australia",NA,"Some high school","Male",NA,NA,"White","None","Not at all religious",52,0.714285714285714,0.457142857142857,0.257142857142857,0,1,0.685714285714286,100,56,59,45,58,"nguuuyh","erh65ght","balls"
"14578430","United States","Maine","Some graduate school","Female","Arts/Design/Entertainment/Sports","Moderately liberal","White","None","Not at all religious",24,0.857142857142857,0.285714285714286,0.571428571428571,0,1,0.0571428571428571,84,91,28,1,8,"Mostly towards the imagery rather than the painting connected to it","I had to go off of feeling","It was so fast the colors were the main influence or expression of the animals/humans"
"14578431","United States","New York","Masters degree","Female","Social Service","Slightly liberal","White","None","Not at all religious",37,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"14578439","Egypt",NA,"Bachelors degree","Male","Healthcare","Slightly liberal","Middle Eastern","Muslim","Somewhat religious",27,0.514285714285714,0.142857142857143,0.371428571428571,0,1,0.428571428571429,100,0,62,38,27,NA,NA,NA
"14578465","United States","Arizona","Some college","Female","Management","Moderately conservative","Native American","Catholic","Moderately religious",39,0.942857142857143,0.742857142857143,0.2,0,1,0.385714285714286,99,0,22,2,82,"if the pictures provided me an issue","not influenced","it was an odd study"
"14578472","South Africa",NA,"Some graduate school","Female","Education","Moderately liberal","White","None","Not at all religious",34,0.892857142857143,0.636363636363636,0.256493506493507,0,0,0.06,NA,NA,NA,NA,NA,NA,NA,NA
"14578475","United States","California","Bachelors degree","Female","Business","Strongly conservative","White","Protestant","Somewhat religious",46,0.884615384615385,0.166666666666667,0.717948717948718,0,0,0.02,NA,NA,NA,NA,NA,NA,NA,NA
"14578483","Canada",NA,"Bachelors degree","Male","Food Service","Moderately liberal","White","None","Not at all religious",37,0.857142857142857,0.0285714285714286,0.828571428571429,0,1,0.585714285714286,27,29,45,41,41,"uncomfortable images influenced the outcome","didn't happen","no"
"14578490","Canada",NA,"High school graduate","Female","Food Service","Moderately liberal","Black","Protestant","Moderately religious",23,0.777777777777778,0.545454545454545,0.232323232323232,0,0,0.15,NA,NA,NA,NA,NA,NA,NA,NA
"14578493","United States","Michigan","Associates degree","Female","Healthcare","Neutral","Black","Protestant","Moderately religious",28,0.142857142857143,0.285714285714286,-0.142857142857143,0,1,0.9,0,66,52,54,65,"If I seen it before","I did not","no"
"14578494","United States","California","Bachelors degree","Female","Administrative Support","Neutral","Hispanic","Other","Not at all religious",35,0.818181818181818,0,0.818181818181818,0,0,0.95,NA,NA,NA,NA,NA,NA,NA,NA
"14578503","United States","Indiana","Bachelors degree","Female","Retired/Unemployed","Moderately liberal","Multiracial","None","Not at all religious",24,0.771428571428571,0.771428571428571,0,0,1,0,98,98,70,98,3,"If I remembered the image more than I remembered the painting.",NA,NA
"14578519","New Zealand",NA,"Some high school","Female","Food Service","Moderately liberal","Multiracial","None","Not at all religious",18,0.971428571428571,0.485714285714286,0.485714285714286,0,1,0.942857142857143,67,33,84,15,76,"Idk","I didnt, I just clicked it lol","they go too fast"
"14578521","United States","Texas","Some college","Female","Education","Moderately conservative","White","Protestant","Moderately religious",21,0.857142857142857,0.2,0.657142857142857,0,1,0.728571428571429,100,100,49,13,93,NA,NA,NA
"14578522","India",NA,"High school graduate","Female","Food Service","Neutral","Asian","Other","Moderately religious",19,0.8,0.0571428571428571,0.742857142857143,0,1,0.414285714285714,NA,NA,NA,45,NA,NA,NA,NA
"14578555","United States","Arizona","Some graduate school","Female","Healthcare","Strongly liberal","White","Jewish","Moderately religious",64,0.571428571428571,0.2,0.371428571428571,0,1,1,49,49,47,77,97,"how i felt","if I didn't see it, I wasn't influenced","I wasn't really sure of anything until it was too late. Sorry."
"14578570","United States","California","Bachelors degree","Female","Education","Neutral","White","Other","Moderately religious",40,1,1,0,1,1,0,99,100,0,0,0,"I like abstract art and none of the real pictures influenced my liking of the painings. I wish I had more time to admire them actually.","My background knowledge of abstract Art.","No"
"14578572","United States","New York","J.D.","Female","Legal","Slightly liberal","Hispanic","Catholic","Somewhat religious",45,0.9,1,-0.1,0,0,0.05,NA,NA,NA,NA,NA,NA,NA,NA
"14578589","United States","Pennsylvania","Some graduate school","Male","Management","Slightly liberal","White","Jewish","Somewhat religious",31,0.857142857142857,0.685714285714286,0.171428571428571,0,1,0.228571428571429,99,100,61,98,3,"If I liked the painting because of the colors in the painting, I determined that the picture preceding it did not influence my decision. If I couldn't remember the painting, I felt my decision was influenced by the picture preceding it.","If I couldn't see the picture or the painting, I chose that I was influenced.","Not at this time."
"14578592","United States","South Carolina","Bachelors degree","Female","Business","Slightly conservative","Black","Protestant","Moderately religious",44,1,1,0,1,1,0,0,0,0,0,1,"I was unable to see any pictures. There was just a grey square box that flashed. I am unable to complete this test as the images did not appear correctly.","I was unable to see any pictures or paintings. I guessed at the end due to the issues with seeing the pictures.","If there is a way I can retake this test with the pictures and images being visible, I will do so."
"14578600","United States","Geogia","High school graduate","Female","Retired/Unemployed","Neutral","Black","Catholic","Moderately religious",18,0.971428571428571,0.628571428571429,0.342857142857143,0,1,0.171428571428571,100,100,6,99,91,"i looked at the picture before when it was asked","just look at it and see which is more disturbing","no"
"14578608","China",NA,"High school graduate","Female","Business","Slightly conservative","Asian","Catholic","Somewhat religious",34,0.342857142857143,0.371428571428571,-0.0285714285714286,0,1,0.3,30,58,45,40,42,NA,NA,NA
"14578613","United States","Idaho","Some college","Female","Retired/Unemployed","Moderately liberal","White","None","Not at all religious",38,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"14578622","Australia",NA,"Some graduate school","Female","Management","Moderately liberal","White","None","Not at all religious",47,0.914285714285714,0.771428571428571,0.142857142857143,0,1,0.0714285714285714,99,99,14,6,74,"bright colours yes, brown colours no","went with gut","no"
"14578623","United States","Michigan","Some college","Male","Business","Moderately liberal","White","Catholic","Not at all religious",36,0.885714285714286,0.485714285714286,0.4,0,1,0.514285714285714,100,91,72,66,82,"With the images changing so quickly and the paintings seeming to be of such a similar style I found myself going with my initial emotional reaction more times than not.","I was of the assumption there were two images (the photo and then the painting) in every trial.","No"
"14578636","United States","California","Bachelors degree","Female","Healthcare","Neutral","Black","Protestant","Very religious",34,0.885714285714286,0.0571428571428571,0.828571428571429,0,1,0.5,99,97,48,47,49,"not sure","guessed","couldn't barely see the paintings"
"14578671","United States","Geogia","Masters degree","Female","Administrative Support","Strongly liberal","Black","Protestant","Moderately religious",38,0.942857142857143,0.857142857142857,0.0857142857142857,0,1,0.528571428571429,95,96,41,48,47,"the pictures  went by so fast sometimes all i could see was the abstract so i focused on that","i picked pleasant & not influenced because I couldn't be influence on something I didn't see","after so many pictures i started getting confused some pictures went by so fast I didn't even see them. not sure how accurate assessment that was."
"14578695","United States","Massachusetts","Ph.D.","Male","Education","Moderately liberal","Asian","Hindu","Not at all religious",56,0,0,0,1,1,0,100,100,0,100,0,"I concentrated on the painting and not the picture","I saw both throughout","No"
